coord,name,price,url,,,,,,,,,,,,,
"(-87.629037, 41.87714113)",Melon Apartment,299.5,www.booking.com/hotel/us/melon-apartment.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=147780101_88763872_2_0_0,all_sr_blocks=147780101_88763872_2_0_0,room1=A%2CA,hpos=11,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX26,from=searchresults,highlight_room=
"(-87.62503662, 41.88803583)","LondonHouse Chicago, Curio Collection by Hilton",274,www.booking.com/hotel/us/londonhouse-chicago-curio-collection-by-hilton.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=164699504_95932355_2_0_0,all_sr_blocks=164699504_95932355_2_0_0,room1=A%2CA,hpos=13,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX28,from=searchresults,highlight_room=
"(-87.6260532438756, 41.8864112502993)",Kimpton Hotel Monaco Chicago,394,www.booking.com/hotel/us/monaco-chicago.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=4547805_98112773_0_0_0,all_sr_blocks=4547805_98112773_0_0_0,room1=A%2CA,hpos=14,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX29,from=searchresults,highlight_room=
"(-87.6255664229393, 41.887689204823)","Club Quarters Hotel, Wacker at Michigan",274,www.booking.com/hotel/us/club-quarters-wacker-at-michigan.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=5606103_97399539_0_0_0,all_sr_blocks=5606103_97399539_0_0_0,room1=A%2CA,hpos=15,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX30,from=searchresults,highlight_room=
"(-87.6283493712572, 41.905849924178)",PUBLIC Chicago,288,www.booking.com/hotel/us/public-chicago.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=5614535_91903169_2_2_0,all_sr_blocks=5614535_91903169_2_2_0,room1=A%2CA,hpos=16,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX31,from=searchresults,highlight_room=
"(-87.623895406723, 41.8913681733528)",InterContinental Hotel Chicago,398.5,www.booking.com/hotel/us/intercontinental-chicago.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=18177209_95441613_2_0_0,all_sr_blocks=18177209_95441613_2_0_0,room1=A%2CA,hpos=17,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX32,from=searchresults,highlight_room=
"(-87.6528713107109, 41.9398069516901)",City Suites Hotel,220,www.booking.com/hotel/us/city-suites.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=5670901_91458827_0_1_0,all_sr_blocks=5670901_91458827_0_1_0,room1=A%2CA,hpos=18,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX33,from=searchresults,highlight_room=
"(-87.6233696937562, 41.9001049992133)",The Drake,257,www.booking.com/hotel/us/the-drake.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=4163825_94257995_2_0_0,all_sr_blocks=4163825_94257995_2_0_0,room1=A%2CA,hpos=19,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX34,from=searchresults,highlight_room=
"(-87.6275458931923, 41.8923754849094)",Acme Hotel Company Chicago,245.5,www.booking.com/hotel/us/acme-chicago.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=37222801_91924823_0_2_0,all_sr_blocks=37222801_91924823_0_2_0,room1=A%2CA,hpos=20,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX35,from=searchresults,highlight_room=
"(-87.6228453218937, 41.8932320366496)",Courtyard Chicago Downtown/Magnificent Mile,265.5,www.booking.com/hotel/us/courtyard-chicago-downtown-magnificent-mile.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=26531001_97567436_0_0_0,all_sr_blocks=26531001_97567436_0_0_0,room1=A%2CA,hpos=22,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX37,from=searchresults,highlight_room=
"(-87.6255697757005, 41.8876742289415)",River Hotel,274,www.booking.com/hotel/us/the-chicago-river.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=4549501_97399538_0_0_0,all_sr_blocks=4549501_97399538_0_0_0,room1=A%2CA,hpos=23,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX38,from=searchresults,highlight_room=
"(-87.622400635582, 41.8940664747733)",Hyatt Centric Chicago Magnificent Mile,334,www.booking.com/hotel/us/wyndham-chicago.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=7950514_94109109_2_0_0,all_sr_blocks=7950514_94109109_2_0_0,room1=A%2CA,hpos=24,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX39,from=searchresults,highlight_room=
"(-87.6263509690762, 41.8917974557405)",Homewood Suites by Hilton Chicago-Downtown,265,www.booking.com/hotel/us/homewood-suites-by-hilton-r-chicago-downtown.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=2878003_95152762_2_1_0,all_sr_blocks=2878003_95152762_2_1_0,room1=A%2CA,hpos=25,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX40,from=searchresults,highlight_room=
"(-87.6263388991355, 41.8817514917735)",The Silversmith Hotel,269,www.booking.com/hotel/us/the-silversmith.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=5636806_88763687_0_0_0,all_sr_blocks=5636806_88763687_0_0_0,room1=A%2CA,hpos=26,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX41,from=searchresults,highlight_room=
"(-87.6244130730629, 41.8734096055237)",Renaissance Blackstone Chicago Hotel,297,www.booking.com/hotel/us/the-blackstone-a-renaissance.en-gb.html?label=gen173nr-1FCAQoggJCDWNpdHlfMjAwMzMxNzNIM2IFbm9yZWZyBXVzX2lsiAEBmAEuuAEKyAEF2AEB6AEB-AELqAID,sid=28e69b52be3281ae5b7ba8b2459908ad,checkin=2017-06-06,checkout=2017-06-08,ucfs=1,highlighted_blocks=2473009_95148559_0_0_0,all_sr_blocks=2473009_95148559_0_0_0,room1=A%2CA,hpos=27,dest_type=city,dest_id=20033173,srfid=4a03b0b55938edff661815f856f13538dd1a32faX42,from=searchresults,highlight_room=
